title,location,price,bedrooms
,"Olkeri, Ngong Road","KSh 16,500,000",4
,"Runda, Westlands","KSh 42,000,000",4
,"Greenfields estate, Donholm","KSh 10,500,000",4
,"Runda Paridise Lost Kiambu Road, Runda, Westlands","KSh 31,500,000",4
,"Five Star paradise, Kiambu Road","KSh 52,950,000",4
,"66, Kinanda Road, Kitisuru, Westlands","KSh 120,000,000",6
,Kileleshwa,"KSh 65,000,000",4
,Lavington,"KSh 175,000,000",4
,"Runda Nairobi, Runda, Westlands","KSh 150,000,000",5
,Lavington,"KSh 121,000,000",6
,Karen Hardy,"KSh 107,000,000",6
,"Windy Ridge, Karen","KSh 55,000,000",4
,"Finpark Ruai, Ruai","KSh 9,950,000",4
,"56, Runda Evergreen, Runda, Westlands","KSh 110,000,000",5
,"Hardy ushirka road, Karen","KSh 110,000,000",5
,"Kamulu Center, Kangundo road, Kamulu, Kamulu Joska Malaa","KSh 6,849,000",3
,"Brookside Drive, Brookside, Westlands","KSh 78,000,000",5
,"Brookside, Westlands","KSh 49,000,000",4
,"Kitisuru, Westlands","KSh 150,000,000",6
,"22, Lower kabete Road, Lower Kabete, Westlands","KSh 85,000,000",5
,Lavington,"KSh 75,000,000",5
,"Loresho, Westlands","KSh 40,000,000",4
,"Kibo Lane, Karen","KSh 220,863,379",5
,Karen,"KSh 65,000,000",4
,"lavington, Lavington","KSh 50,000,000",4
,Lavington,"KSh 95,000,000",5
,"lavington, Lavington","KSh 140,000,000",5
,"Muthaiga north, Muthaiga","KSh 58,000,000",5
,"Kitisuru, Westlands","KSh 128,000,000",6
,"x, runda, Runda, Westlands","KSh 88,000,000",4
,Lavington,"KSh 68,000,000",4
,"O, mukoma road, Karen Hardy","KSh 65,000,000",4
,"Windsor, Roysambu","KSh 59,000,000",4
,Karen,"KSh 180,000,000",6
,Lavington,"KSh 55,000,000",5
,"Kitisuru, Westlands","KSh 55,000,000",4
,"Kibiko, Ngong Road","KSh 30,000,000",4
,Kiambu Road,"KSh 35,000,000",4
,"Shanzu Road, Spring Valley, Westlands","KSh 85,000,000",5
,"O, Banda school, Karen","KSh 93,000,000",4
,Kiambu Road,"KSh 36,000,000",4
,"Kitisuru, Westlands","KSh 48,000,000",5
,Lavington,"KSh 65,000,000",5
,"Gigiri, Westlands","KSh 275,000,000",5
,"Flame Tree, Runda, Westlands","KSh 95,000,000",4
,"Off bogani road, Karen","KSh 270,000,000",5
,Kiambu Road,"KSh 44,500,000",4
,"Kitisuru, Westlands","KSh 85,000,000",5
,South C,"KSh 22,000,000",4
,"Ngecha rd, Kitisuru, Westlands","KSh 128,000,000",5
,"01, karen, Nairobi, Karen","KSh 50,000,000",4
,"Lavighton, Lavington","KSh 121,000,000",6
,"99, Lower Kabete Road, Lower Kabete, Westlands","KSh 150,000,000",5
,Ngong Road,"KSh 50,000,000",5
,"Redhill road Rosslyn, Rosslyn, Westlands","KSh 100,000,000",4
,"Convent Road, Lavington","KSh 70,000,000",5
,Kileleshwa,"KSh 350,000,000",4
,Langata,"KSh 39,500,000",4
,"Muthaiga North, Muthaiga","KSh 60,000,000",5
,Kiambu Road,"KSh 35,000,000",4
,Kileleshwa,"KSh 27,000,000",4
,"Runda, Westlands","KSh 32,000,000",4
,"lavington, Lavington","KSh 50,000,000",5
,"Joska, Kamulu Joska Malaa","KSh 7,000,000",3
,"01, Kiambu Road, Runda","KSh 85,000,000",5
,"Mkoma road, Karen","KSh 90,000,000",6
,"Westlands Area, Westlands","KSh 45,000,000",5
,Karen,"KSh 75,000,000",5
,Lavington,"KSh 65,000,000",4
,"Runda, Westlands","KSh 250,000,000",7
,"Lantana Road, Westlands Area, Westlands","KSh 60,000,000",5
,"Four Ways, Kiambu Road","KSh 26,000,000",3
,"Karen hardy, Karen","KSh 110,000,000",6
,Lavington,"KSh 60,000,000",5
,Langata,"KSh 16,000,000",3
,"Westlands Area, Westlands","KSh 38,000,000",4
,"Njumbi Rd Lavington, Lavington","KSh 75,000,000",4
,"Kiambu road, Kiambu Road","KSh 40,000,000",4
,Lavington,"KSh 50,000,000",5
,"Kangundo Road, Joska, Kamulu Joska Malaa","KSh 8,150,000",3
,Lavington,"KSh 83,000,000",5
,"O, Karen THREE DE ROAD, Karen","KSh 75,000,000",4
,"PHASE 5, Buruburu","KSh 13,000,000",45
,"Runda, Westlands","KSh 160,000,000",8
,Lavington,"KSh 60,000,000",4
,"gigiri, Gigiri, Westlands","KSh 170,000,000",5
,Kiambu Road,"KSh 32,000,000",4
,"Nandi road, Karen","KSh 95,000,000",5
,Ruai,"KSh 17,000,000",4
,"67, Flem Tree, Runda, Westlands","KSh 180,000,000",5
,"Kitisuru, Westlands","KSh 720,000,000",7
,South C,"KSh 100,000,000",6
,"Joska, Kamulu, Kamulu Joska Malaa","KSh 7,500,000",3
,Lavington,"KSh 135,000,000",5
,"Kitisuru, Westlands","KSh 11,500,000",3
,Kileleshwa,"KSh 270,000,000",5
,"Runda, Westlands","KSh 50,000,000",4
,"Loresho, Westlands","KSh 150,000,000",5
,"New Kitisuru, Kitisuru, Westlands","KSh 82,000,000",6
,"Garden Estate, Roysambu","KSh 59,000,000",5
,"01, kitisuru, westland, Kitisuru, Westlands","KSh 130,000,000",5
,"Nyari Estate, Nyari, Westlands","KSh 110,000,000",6
,Lavington,"KSh 65,000,000",4
,"O, Bongani road, Karen","KSh 88,000,000",4
,Karen,"KSh 135,000,000",10
,Lavington,"KSh 121,000,000",6
,Lavington,"KSh 68,000,000",4
,"Runda, Westlands","KSh 88,000,000",4
,Kiambu Road,"KSh 53,000,000",4
,Kiambu Road,"KSh 52,000,000",4
,"Loresho, Westlands","KSh 120,000,000",5
,"Sabaki Estate, Mombasa Road","KSh 13,500,000",3
,"Kitisuru, Westlands","KSh 333,000,000",5
,Lavington,"KSh 65,000,000",4
,"O, Langata south road, Karen","KSh 95,000,000",5
,Kiambu Road,"KSh 30,000,000",4
,Kilimani,"KSh 65,000,000",3
,"1011/1015p, Kilimani, Denis Prit Road.","KSh 6,900,000",1
,"78, Runda Meadows, Runda, Westlands","KSh 70,000,000",5
,"Kitisuru, Westlands","KSh 130,000,000",5
,Lavington,"KSh 142,000,000",5
,"Ndumboini, Uthiru","KSh 18,000,000",3
,Kiambu Road,"KSh 28,000,000",4
,"Grevillea Grove, Brookside, Westlands","KSh 55,000,000",4
,"Bukani Rd, Nairobi West","KSh 15,000,000",3
,Karen,"KSh 110,000,000",5
,"Westlands Area, Westlands","KSh 59,500,000",5
,"Loresho Ridge, Loresho, Westlands","KSh 42,000,000",4
,"O, Karen plain, Karen","KSh 75,000,000",5
,"Convent Drive, Lavington, Nairobi","KSh 70,000,000",5
,"Spring Valley, Westlands","KSh 49,000,000",4
,"Ushirka road, Karen","KSh 110,000,000",5
,Kiambu Road,"KSh 25,000,000",3
,"O, Karen hardy, Karen","KSh 110,000,000",6
,"O, Karen plain, Karen","KSh 75,000,000",5
,"N/A, Off Peponi Rd, Westlands Area, Westlands","KSh 68,500,000",5
,"Matundu lane, Westlands Area, Westlands","KSh 45,000,000",3
,"lavington, Lavington","KSh 55,000,000",5
,"Balozi Estate, Muthaiga","KSh 27,000,000",4
,"Gigiri crescent, Gigiri, Westlands","KSh 140,000,000",6
,Ngumo Estate,"KSh 19,000,000",4
,"Convent, Lavington","KSh 59,000,000",4
,"O, Magiwa ESTATE, Ngumo Estate","KSh 15,500,000",3
,"Maziwa, Lavington Green, Lavington","KSh 140,000,000",6
,"Mimosa Road, Runda, Westlands","KSh 150,000,000",5
,Muthaiga,Price not communicated,4
,"Uhuru Gardens Estate, Langata","KSh 16,000,000",3
,"Lower Kabete, Westlands","KSh 150,000,000",5
,"Loresho, Westlands","KSh 35,000,000",4
,Komarock,"KSh 14,000,000",4
,"Spring Valley, Westlands","KSh 50,000,000",5
,"chaalbi drive, Lavington","KSh 65,000,000",4
,"Lavington Green, Lavington","KSh 42,000,000",5
,Kileleshwa,"KSh 35,000,000",5
,"01, loresho, westland, Loresho, Westlands","KSh 150,000,000",5
,Karen,"KSh 75,000,000",4
,Lavington,"KSh 50,000,000",4
,"54, Flem Tree, Runda, Westlands","KSh 115,000,000",5
,Lavington,"KSh 88,000,000",6
,Lavington,"KSh 65,000,000",4
,Buruburu,"KSh 10,700,000",3
,"Oloolua Karen, Karen","KSh 99,000,000",5
,"Kitisuru, Westlands","KSh 150,000,000",6
,"kilimani, Kilimani","KSh 23,000,000",3
,"Runda, Westlands","KSh 40,000,000",3
,"O, Langata south road, Karen","KSh 85,000,000",5
,"Loresho, Westlands","KSh 45,000,000",4
,"Waiyaki way, Westlands Area, Westlands","KSh 42,000,000",4
,"Migaa golf Estate, Kiambu Road","KSh 28,000,000",4
,"Rosslyn, Westlands",Price not communicated,5
,"Runda, Westlands","KSh 250,000,000",7
,"Runda Evergreen, Runda, Westlands","KSh 100,000,000",4
,Kiambu Road,"KSh 30,000,000",4
,"Brookside, Westlands","KSh 49,000,000",4
,Lavington,"KSh 95,000,000",4
,Kiambu Road,"KSh 40,000,000",4
,"Ndenge road, Karen","KSh 130,000,000",6
,"Hardy, Karen","KSh 115,000,000",5
,"Rhapta Road, Westlands Area, Westlands","KSh 35,000,000",4
,"O, Karen","KSh 75,000,000",4
,"Westlands Area, Westlands","KSh 40,000,000",5
,Lavington,"KSh 65,000,000",4
,"O, Karen area, Karen","KSh 190,000,000",7
,"Near Bandari Villas, South C","KSh 27,000,000",3
,Kiambu Road,"KSh 80,000,000",3
,Lavington,"KSh 85,000,000",5
,"Oloitokitok road, Kileleshwa, Nairobi","KSh 37,000,000",4
,Kiambu Road,"KSh 75,000,000",3
,"Runda, Westlands","KSh 180,000,000",6
,"Mountain View, Westlands","KSh 65,000,000",5
,Lavington,"KSh 50,000,000",5
,Muthaiga,"KSh 160,000,000",5
,"Runda paradise, Runda, Westlands","KSh 88,000,000",4
,"mukokoa court, Komarock","KSh 9,000,000",5
,Buruburu,"KSh 12,500,000",3
,Lavington,"KSh 60,000,000",6
,"Muthaiga north, Muthaiga","KSh 35,000,000",4
,"lavington, Lavington","KSh 150,000,000",6
,"Lower Kabete, Westlands","KSh 160,000,000",5
,"Runda, Westlands","KSh 67,000,000",5
,Lavington,"KSh 55,000,000",5
,Lavington,"KSh 121,000,000",5
,Embakasi,"KSh 11,000,000",4
,"Red Hill Drive, Nyari, Westlands","KSh 115,000,000",5
,"Brookside Drive, Westlands Area, Westlands","KSh 56,000,000",4
,"Karen hardy, Karen Hardy","KSh 110,000,000",5
,"Brookside, Westlands","KSh 40,000,000",4
,"Nairobi, Kyuna, Westlands","KSh 85,000,000",4
,Kiambu Road,"KSh 29,000,000",4
,Lavington,"KSh 50,000,000",5
,Karen,"KSh 150,000,000",5
,"x, gigiri, Gigiri, Westlands","KSh 150,000,000",6
,Lavington,"KSh 180,000,000",5
,Kiambu Road,"KSh 29,000,000",4
,"01, Runda, Westlands","KSh 99,000,000",5
,"Muthaiga Road, Old Muthaiga, Nairobi, Muthaiga","KSh 170,000,000",4
,Langata,"KSh 15,000,000",4
,"Chalbi Drive, Lavington","KSh 66,000,000",4
,Karen,"KSh 150,000,000",5
,"Runda, Westlands","KSh 70,000,000",5
,"Gigiri estate, Gigiri, Westlands","KSh 110,000,000",5
